epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9966,1.57677,4.591,1.21777,0.01312,0.08333,0.03454,0.01893,1.36424,4.37764,0.88608,6.672e-05,6.672e-05,6.672e-05
2,156.221,1.17862,3.5139,0.9967,0.07036,0.11029,0.12717,0.09749,0.83898,4.08104,0.81977,0.000136248,0.000136248,0.000136248
3,229.856,0.9123,2.09865,0.91846,0.04752,0.16667,0.16267,0.14022,0.82117,3.72099,0.79818,0.000202913,0.000202913,0.000202913
4,312.626,0.83678,1.8945,0.90763,0.06717,0.16667,0.1657,0.14815,0.75759,3.50533,0.77228,0.000266717,0.000266717,0.000266717
5,391.308,0.73042,1.50094,0.87226,0.04691,0.22222,0.21731,0.1959,0.70888,3.24749,0.75248,0.000327657,0.000327657,0.000327657
6,474.567,0.73478,1.4856,0.86904,0.05057,0.30556,0.21252,0.18215,0.7821,3.21035,0.77175,0.000385736,0.000385736,0.000385736
7,545.591,0.67045,1.19225,0.86162,0.03459,0.5,0.31692,0.24862,0.72029,2.59684,0.78619,0.000440952,0.000440952,0.000440952
8,625.343,0.67362,1.3138,0.87573,1,0.15457,0.4026,0.29055,0.71997,2.19833,0.80265,0.000478938,0.000478938,0.000478938
9,711.159,0.69047,1.21145,0.87706,0.88296,0.23611,0.41695,0.31395,0.68632,1.60463,0.78467,0.00046793,0.00046793,0.00046793
10,796.642,0.64618,1.08477,0.87246,0.77624,0.35129,0.43398,0.3314,0.6611,1.41867,0.76798,0.000456921,0.000456921,0.000456921
11,877.701,0.58259,0.99734,0.84389,0.74082,0.38523,0.41877,0.31228,0.62734,1.10349,0.76301,0.000445912,0.000445912,0.000445912
12,963.965,0.57361,1.37477,0.84614,0.73918,0.40251,0.44948,0.33091,0.6311,1.03323,0.77663,0.000434903,0.000434903,0.000434903
13,1049.95,0.6006,1.02716,0.85011,0.6687,0.43829,0.5155,0.3662,0.71002,0.9889,0.79436,0.000423894,0.000423894,0.000423894
14,1133.23,0.63566,0.91497,0.84709,0.71389,0.46024,0.52892,0.39051,0.57507,0.76886,0.76279,0.000412886,0.000412886,0.000412886
15,1226.1,0.58286,0.89662,0.83526,0.80128,0.47387,0.52409,0.38,0.62974,0.84859,0.7603,0.000401877,0.000401877,0.000401877
16,1319.63,0.53425,0.83123,0.83297,0.83497,0.42416,0.54047,0.37514,0.66321,0.81666,0.77276,0.000390868,0.000390868,0.000390868
17,1420.22,0.55846,0.86405,0.8375,0.73451,0.49411,0.53259,0.38594,0.58983,0.80114,0.76534,0.000379859,0.000379859,0.000379859
18,1497.43,0.57071,0.88304,0.83561,0.72804,0.50846,0.53264,0.38435,0.59623,0.73999,0.77238,0.00036885,0.00036885,0.00036885
19,1577.08,0.49699,0.74164,0.83163,0.68583,0.48956,0.55284,0.3932,0.60798,0.79502,0.75678,0.000357842,0.000357842,0.000357842
20,1655.19,0.52259,0.85781,0.81896,0.73342,0.52854,0.61675,0.44388,0.60698,0.71173,0.76454,0.000346833,0.000346833,0.000346833
