epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2515.33,1.06001,5.22723,1.15966,0.45178,0.09615,0.09227,0.0823,0.80347,3.08302,1.03487,0.000162602,0.000162602,0.000162602
2,5430.35,0.77071,2.07513,0.98226,0.80064,0.40096,0.44612,0.34413,0.77124,1.72169,1.02376,0.000322749,0.000322749,0.000322749
3,8338.95,0.6849,1.38403,0.94786,0.73625,0.46839,0.4769,0.35998,0.75171,1.26119,1.01465,0.000476296,0.000476296,0.000476296
4,10907.9,0.67284,1.20945,0.93428,0.71293,0.4742,0.48142,0.364,0.73564,1.16522,0.99065,0.0004703,0.0004703,0.0004703
5,13545.8,0.65533,1.03482,0.93903,0.85973,0.44337,0.50793,0.38511,0.7379,0.98575,0.98206,0.0004604,0.0004604,0.0004604
6,16300,0.61109,0.82751,0.92409,0.81599,0.48204,0.58456,0.4343,0.75797,0.93805,0.97983,0.0004505,0.0004505,0.0004505
7,18880.1,0.62515,0.78649,0.92671,0.86603,0.47271,0.53827,0.39637,0.73369,0.89792,1.01641,0.0004406,0.0004406,0.0004406
8,21594.6,0.60491,0.69842,0.91747,0.80448,0.57689,0.64603,0.49584,0.76142,0.8627,0.99785,0.0004307,0.0004307,0.0004307
9,24245,0.59075,0.63981,0.9178,0.84031,0.55255,0.61308,0.45167,0.71172,0.7595,0.97737,0.0004208,0.0004208,0.0004208
10,26977.2,0.60325,0.64369,0.92116,0.84965,0.57962,0.61422,0.46826,0.70145,0.78873,0.96808,0.0004109,0.0004109,0.0004109
11,29637.2,0.57862,0.58263,0.89512,0.70236,0.62103,0.64298,0.46406,0.76471,0.74815,1.0014,0.000401,0.000401,0.000401
12,32362.5,0.53261,0.54417,0.90448,0.7156,0.58922,0.61274,0.44127,0.74443,0.79911,1.00157,0.0003911,0.0003911,0.0003911
