epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,66.9898,1.82861,3.94396,1.36563,0.77364,0.24724,0.29832,0.20587,1.56709,1.88321,1.25273,0.00996416,0.00332139,0.00996416,0.00332139,0.00996416,0.00332139,0.00996416,0.00332139
2,126.141,1.47656,1.71538,1.18501,0.7122,0.45408,0.53686,0.36688,1.44859,1.36449,1.21258,0.0198983,0.00663276,0.0198983,0.00663276,0.0198983,0.00663276,0.0198983,0.00663276
3,183.619,1.44563,1.40338,1.17636,0.70217,0.51007,0.63278,0.40042,1.52976,1.31434,1.26423,0.0297664,0.00992213,0.0297664,0.00992213,0.0297664,0.00992213,0.0297664,0.00992213
4,240.694,1.45469,1.24468,1.17914,0.70335,0.59905,0.66985,0.43335,1.41921,1.14115,1.20076,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,297.301,1.40793,1.10176,1.16421,0.639,0.66116,0.69976,0.46378,1.34771,1.00987,1.17815,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,353.542,1.35214,1.01028,1.1381,0.7227,0.68706,0.75497,0.50896,1.33743,0.91576,1.16857,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,409.041,1.31113,0.93197,1.10922,0.69787,0.68702,0.75336,0.51544,1.31167,0.88186,1.15635,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,464.464,1.27321,0.8778,1.09915,0.79825,0.64406,0.76301,0.52964,1.27162,0.86275,1.13127,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,520.494,1.24919,0.8313,1.08498,0.79018,0.64378,0.76988,0.53584,1.27406,0.84834,1.1357,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,576.432,1.21599,0.81171,1.07164,0.72656,0.72011,0.79324,0.55577,1.27495,0.80908,1.13086,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,632.078,1.19225,0.77581,1.0563,0.82482,0.71176,0.79368,0.562,1.24122,0.79151,1.11486,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,687.582,1.1652,0.7486,1.05406,0.78418,0.7229,0.80421,0.57807,1.2187,0.76067,1.10308,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,743.04,1.14924,0.72978,1.04509,0.7482,0.71527,0.79187,0.55973,1.23915,0.76779,1.11613,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,799.204,1.13494,0.70823,1.03462,0.82877,0.69859,0.79873,0.56819,1.2009,0.75581,1.10271,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,854.769,1.12817,0.69581,1.032,0.81039,0.74896,0.82717,0.58932,1.21079,0.75283,1.10867,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,910.268,1.10557,0.67817,1.02351,0.80588,0.72659,0.82294,0.59561,1.19589,0.75795,1.09821,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,966.613,1.0745,0.66105,1.01493,0.86222,0.73783,0.83188,0.60901,1.16362,0.69984,1.07997,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1022.34,1.06914,0.65037,1.00912,0.78544,0.75621,0.82951,0.59839,1.17466,0.7109,1.08931,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1077.71,1.05177,0.63371,0.99873,0.82208,0.71954,0.81632,0.59318,1.18636,0.71735,1.08851,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1132.94,1.02814,0.61934,0.99464,0.77244,0.77881,0.83212,0.60646,1.17224,0.68061,1.0904,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1188.3,1.02095,0.61762,0.98698,0.75078,0.77492,0.83429,0.60132,1.15879,0.69929,1.08158,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1243.88,1.00963,0.60353,0.98452,0.84249,0.74448,0.8417,0.61049,1.16852,0.67464,1.08432,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1299.66,0.9951,0.59295,0.97694,0.84368,0.73285,0.84155,0.61997,1.14528,0.67325,1.07192,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1355.4,0.99731,0.59229,0.98023,0.78364,0.79057,0.84666,0.62099,1.14499,0.66934,1.0756,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1411.14,0.97746,0.58184,0.97358,0.82236,0.77641,0.84865,0.63574,1.12544,0.65366,1.06648,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1466.92,0.96186,0.57117,0.96465,0.86286,0.71531,0.83402,0.616,1.13302,0.66173,1.07424,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1522.61,0.9527,0.56328,0.96421,0.85857,0.74217,0.84984,0.622,1.13443,0.66362,1.0752,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1578.1,0.94168,0.5526,0.95909,0.82877,0.76289,0.84405,0.62435,1.12502,0.66397,1.07189,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1633.59,0.92853,0.54587,0.95658,0.81243,0.78143,0.83972,0.62071,1.11766,0.63539,1.0675,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1689.15,0.91898,0.54174,0.95198,0.82188,0.78332,0.85615,0.63628,1.12221,0.63023,1.07029,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,1744.72,0.91479,0.53823,0.94982,0.8189,0.78005,0.84816,0.63422,1.11732,0.63109,1.07089,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,1800.16,0.90504,0.53252,0.94458,0.77781,0.78362,0.85207,0.62448,1.13857,0.6484,1.08023,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1855.69,0.89183,0.52473,0.94281,0.82448,0.75386,0.84424,0.63097,1.12017,0.62518,1.06573,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
